iteration,dKx,dKy,dKz,rmse_neubauer_x,rmse_neubauer_y,rmse_neubauer_z,rmse_B2_x,rmse_B2_y,rmse_B2_z,rmse_B1_x,rmse_B1_y,rmse_B1_z,rmse_B0_x,rmse_B0_y,rmse_B0_z,rmse_waicup_x,rmse_waicup_y,rmse_waicup_z,rmse_ramen_x,rmse_ramen_y,rmse_ramen_z,rmse_hog_x,rmse_hog_y,rmse_hog_z,rmse_ubss_x,rmse_ubss_y,rmse_ubss_z,snr_neubauer_x,snr_neubauer_y,snr_neubauer_z,snr_B2_x,snr_B2_y,snr_B2_z,snr_waicup_x,snr_waicup_y,snr_waicup_z,snr_hog_x,snr_hog_y,snr_hog_z,snr_ramen_x,snr_ramen_y,snr_ramen_z,snr_ubss_x,snr_ubss_y,snr_ubss_z
1,5.609261745783061,1.1670305041207658,1.0091593812338397,0.04560277557065763,0.07559515383903474,0.0752279725346392,0.24333672980969306,0.4098105216237386,0.634675092986407,0.44110562500813705,0.7404712299144949,1.0803802133749907,0.894756996013412,1.4375758311548366,1.9633106957040696,4.210825498031616,7.668232333887517,1.7219844343417345,0.20888746139950934,0.1883700032159501,0.3117203117068299,0.23969026286107034,0.4007674765574558,0.6188970506952426,1.2842757306665622,0.2175839143638288,0.8792194660196233,74.45959544373706,69.47958639686392,57.765409438643466,59.91526762585767,54.79780341158388,39.24196747888058,35.15207609019373,29.35556024521358,30.57241215748232,60.04641313808726,54.99161609976668,39.46062832316292,61.24117353243831,61.54923059657599,45.41769454833915,45.466255458896974,60.296929790312284,36.411050688171926
2,0.4959737821648153,0.19409876037428034,1.31168491408688,0.042646748168764785,0.04444270221619482,0.04691500134837703,0.15505918925098577,0.18641868478519963,0.27327040088600585,0.2788725190996907,0.34299082120642954,0.4505592661374992,0.5505095100547475,0.6881738165199193,0.7994948798118509,3.937388197015743,5.00932384971604,1.8347357895214624,0.13473605922203608,0.02487506682971763,0.12633719786690328,0.1521439660469063,0.1802038198979177,0.2598017711081825,0.39852438302583476,0.4311322408741578,0.17684739181999656,75.04170253889855,74.093456357379,61.86676192232517,63.82947079435512,61.63967670783251,46.56114470714868,35.73525626998358,33.053883311043194,30.021525931851404,63.9943263090304,61.93418564514536,47.000154437227806,65.04974415372801,79.13418037640173,53.26237178314486,55.63032300968358,54.35725547201112,50.34102340244349
3,0.828210048433605,97.3761653179754,2.0634354879788983,0.04792294251188542,0.06214873226541134,0.0543961646534661,0.242252075757608,0.3481744808122242,0.7210145017195143,0.44918817675569195,0.6258783265494199,1.358660972272387,0.9574437161263658,1.2898357375088065,2.8177002750491793,6.491596108695891,9.274073393076224,1.8420715239105996,0.20488802837305653,0.2028671252148459,0.05973865800421352,0.23212520620364271,0.32682067252489894,0.7197436077675573,4.488704278912331,1.0542013046018208,1.2237853167486556,74.0285514462795,71.18082001730149,60.581630991441095,59.954070831172515,56.2135267672456,38.134116590300636,31.392391146744878,27.704054930645448,29.9868668059138,60.32497492084367,56.763275113626165,38.14944025552773,61.40908930624032,60.90523200131186,59.767887341335054,34.59700108142081,46.59099451382411,33.5388918226191
4,0.31734506714064487,1.1174861143714925,0.9413927595157895,0.04745555196920899,0.05925789329488188,0.05262579858155684,0.16691687026061763,0.4116827577507308,0.4242226647375835,0.280209663362981,0.764439696865893,0.7241059071597266,0.4909497650699465,1.5884398595355411,1.3612620678246519,4.44237366169554,4.959914014393043,2.523178128517436,0.1561228899319817,0.16439941217428075,0.1993404638219317,0.1551229289774898,0.4052366460925401,0.409631748133568,0.0721228067693171,0.7401604815052832,0.5953169077181979,74.11368038840143,71.59454134818719,60.869022601415836,63.18941631234648,54.758211938495585,42.74111923239957,34.687119259897386,33.139982548841274,27.254038356446717,63.825901044809754,54.89529125451253,43.04512440783264,63.77008933683268,62.73146029351379,49.30108729650112,70.47796857947216,49.66294762808016,39.79803224092022
5,5.37991116429449,1.956771299594654,4.572245952462135,0.04279832081034278,0.04571970445736506,0.059876381661113615,0.2523227197719376,0.35077065264627455,1.0982766352149145,0.4809930784613278,0.7047621789543738,1.993237421769731,1.0323496337017857,1.638101244397712,3.9394492119103646,4.51209462597142,8.073102404751252,2.35262410693111,0.20679932015850339,0.2600048224932795,0.18748090893530298,0.24248409801550805,0.3446700963876852,1.0812201854938028,0.45297262620875767,0.7943154853810271,1.3440820325885907,75.01088637516693,73.84739721335872,59.74788562555821,59.60029382683393,56.149000484250855,34.47876169520632,34.55185699306998,28.908656272295538,27.861945728263002,59.94575571054136,56.30139338823922,34.61471368471949,61.32843883763875,58.74983743617932,49.833855577651306,54.51798181649772,49.049604914175276,32.724481073740684
6,17.146489542251462,7.327738538007877,0.1693075117735755,0.045559963171543115,0.046594464422271026,0.047053888477761284,0.3210868914376341,0.14232524916173708,0.5971555276090437,0.5506209408277437,0.26748868569628886,1.074644113216377,1.0105373248804597,0.5756820660832392,2.113884221203293,2.6844205485128305,6.356089020545204,2.0684402147107,0.29240976453704687,0.07391648703144353,0.09705388407415856,0.3089349038803217,0.10285891827539706,0.5779939272674102,0.30590712028652933,0.20728360059339518,0.0787531803575947,74.46775368484124,73.68277901798328,61.841086208615025,57.50696945975142,63.98382644478609,39.77124745052937,39.06240988046075,30.98566607817494,28.980137130088444,57.842081406789,66.80462644614504,40.05453107520184,58.31958355035824,69.67463913356428,55.55273817644778,57.927629257137035,60.71816662242027,57.36763455911322
7,3.4161592190950483,2.6281384463705457,0.40283767368935525,0.049430593614411975,0.04977672579013875,0.057115431628742275,0.0804563539411124,0.16114768394646584,0.43792237357301433,0.130019056771725,0.29981973344820745,0.761612874140521,0.22327261661028064,0.6345732544659972,1.4137043274019865,4.867558765867776,5.698373174935527,2.6353134827972937,0.07610496781171601,0.10055211527455417,0.1307236984103733,0.07761182751239006,0.15322539604872465,0.42739115055173627,0.14399608452773738,0.31906565103975276,0.6209036002034707,73.75950445262029,73.10893897600386,60.15792732194309,69.52821401854735,62.904984138271175,42.46505390556058,33.89319690281682,31.934447762383662,26.876350905794574,69.84086277544931,63.34285044909603,42.67648607451381,70.0111608395303,67.00164127826949,52.96591005839568,64.47240730915163,56.97186444424887,39.43251302448725
8,0.478724012390237,26.15469256974422,3.353919044505007,0.0475292211433748,0.05685267097815336,0.05160308897623002,0.21008519099766493,0.2554227119833341,0.4807247061343209,0.35997696937691925,0.4653360098399695,0.8087320472603207,0.6591184118308664,0.9351647550325606,1.4536036408404305,3.230377917973379,4.646296073465886,4.243551162272664,0.19159652229794352,0.09724774030075671,0.19758670557807706,0.20069837472915264,0.2520344777184856,0.4695367580789827,0.10844952936885924,0.09428436332474502,1.2652881241649794,74.10020701948412,71.95444804120909,61.03948259716056,61.19151217441733,58.90427526517614,41.655067732721854,37.454354314032166,33.707327887157504,22.738407733095837,61.58854386070153,59.02026639442457,41.85960464438332,61.9916685345587,67.29187512799086,49.37784218181954,66.93486753822091,67.56067204544014,33.2492079486894
9,1.3554265687672593,0.9242660490037573,0.4480399975346722,0.048138213627595815,0.04587003054694655,0.047904364297857674,0.2079477101275308,0.22204535791159696,0.9335498836606281,0.38330033763573496,0.3907808663522576,1.6582842231300758,0.8064016849587311,0.7584865201937341,3.236734115392703,4.6546702845966355,11.45849855247674,1.8713152751458098,0.17571009209177876,0.06982805504819965,0.20981520965738804,0.2054209206368732,0.22019094714997495,0.9130063098528644,0.46399599385617046,0.1423809361556445,1.4850384931039617,73.98962157371598,73.81888491345437,61.685494958188784,61.28033812421289,60.120631535861826,35.89024600195732,34.281642512011686,25.86691121602549,29.850057332033128,61.38652754634621,60.193476308858806,36.08352100549332,62.743486844401716,70.1688665881747,48.85625723875961,54.30913635432993,63.98042861843408,31.85824236565793
10,2.4864732455421925,0.3230119786029403,0.7434372298605596,0.04559175857165418,0.06850964436725042,0.0446291137455125,0.23584809088509093,0.3763770035612494,0.8131741226258486,0.42601940892485074,0.7077459473898092,1.3754068109938977,0.8497302120734846,1.4268850556421353,2.487523498983426,3.655128196627659,6.263353487400286,1.2339617371048242,0.20341038440527856,0.06452051328275941,0.3074404926702221,0.22833656652837672,0.35275588116969303,0.7296691571344939,0.309572280474033,0.6297165682959528,39.033364649914915,74.4616940878905,70.33443123827139,62.30063133293164,60.18677366931616,55.537003892439465,37.08932558970759,36.381368699555615,31.113327043518968,33.46696272062172,60.46791164514167,56.099980238957166,38.0304768019694,61.47195856098462,70.85550922658885,45.537775237014706,57.824179643153535,51.066563099373155,3.464276809429122
